# start_seconds|end_seconds|speaker|first_line|second_line
# Speakers: KROOL, KLUMP. Keep the final | when there is no second line.
108.30|112.54|KROOL|ESPEREI MUITO TEMPO POR ESTE MOMENTO.|
112.54|118.83|KROOL|EM BREVE, DONKEY KONG E SUA LINDA|ILHAZINHA DEIXARÃO DE EXISTIR!
205.22|206.87|KROOL|GUARDAS!|
220.78|226.73|KROOL|FAÇAM TUDO O QUE PUDEREM|PARA MANTER DONKEY KONG DISTRAÍDO.
226.86|230.98|KROOL|ROUBEM SUA RESERVA DE BANANAS|DOURADAS, QUE ELE TANTO PREZA...
230.98|233.99|KROOL|...E DEEM UM JEITO|NAQUELES AMIGOS PATÉTICOS DELE.
234.16|237.22|KROOL|DESTA VEZ, NÃO PODE HAVER ERROS!|
239.30|244.38|KLUMP|VOSSA EXCELÊNCIA,|JÁ CUIDAMOS DE TUDO!
248.76|253.01|KROOL|PARA O SEU BEM, ESPERO|QUE ESTEJA CERTO DESTA VEZ.
254.10|255.03|KLUMP|NÃO!|
256.47|261.04|KROOL|ENQUANTO VOCÊ PROCURA|SUAS PRECIOSAS BANANAS DOURADAS...
261.04|263.14|KROOL|...E SEUS AMIGOS PULGUENTOS...|
263.14|267.10|KROOL|...VOU PREPARAR MINHA SURPRESA|COM SABOR DE LAGARTO!
